HR_Timestamp;HR;IBI;HRV
6.3261401653289795;62.9479;0.953169;-1.00000
7.248059988021851;65.0817;0.921918;0.0312514
8.2012300491333;62.9479;0.953169;0.0312514
9.123150110244751;65.0817;0.921918;0.0312512
10.013810157775879;67.3653;0.890666;0.0312517
10.920109987258911;66.2038;0.906292;0.0156257
11.842020034790039;65.0817;0.921918;0.0156258
12.748310089111328;66.2038;0.906292;0.0156258
13.670230150222778;65.0817;0.921918;0.0156258
14.59214997291565;65.0817;0.921918;0.00000
16.373480081558228;67.3653;0.890666;0.0312515
17.248520135879517;68.5683;0.875040;0.0156257
18.123560190200806;68.5683;0.875040;0.00000
18.998600006103516;68.5683;0.875040;0.00000
20.811190128326416;65.0817;0.921918;0.0468772
21.748730182647705;63.9970;0.937543;0.0156257
22.670650005340576;65.0817;0.921918;0.0156257
23.545690059661865;68.5683;0.875040;0.0468772
24.420730113983154;68.5683;0.875040;0.00000
25.295770168304443;68.5683;0.875040;0.00000
26.123929977416992;72.4495;0.828163;0.0468771
27.014600038528442;67.3653;0.890666;0.0625028
28.71780014038086;69.8149;0.859415;0.0312514
29.59284019470215;68.5683;0.875040;0.0156257
31.280420064926147;71.1078;0.843789;0.0312515
32.1710901260376;67.3653;0.890666;0.0468772
33.07738018035889;66.2038;0.906292;0.0156257
34.0149199962616;63.9970;0.937543;0.0312515
34.92122006416321;66.2038;0.906292;0.0312515
35.87439012527466;62.9479;0.953169;0.0468772
36.765050172805786;67.3653;0.890666;0.0625029
37.640089988708496;68.5683;0.875040;0.0156257
38.562010049819946;65.0817;0.921918;0.0468772
39.5151801109314;62.9479;0.953169;0.0312514
40.46835017204285;62.9479;0.953169;0.00000
41.43713998794556;61.9326;0.968795;0.0156260
42.40594005584717;61.9326;0.968795;3.00000e-7
43.37473011016846;61.9326;0.968795;0.00000
44.35915017127991;60.9496;0.984421;0.0156257
46.26549005508423;62.9479;0.953169;0.0312514
47.26554012298584;59.9972;1.00005;0.0468769
48.12495017051697;69.8149;0.859415;0.140631
49.03125;66.2038;0.906292;0.0468771
49.92191004753113;67.3653;0.890666;0.0156257
50.82820010185242;66.2038;0.906292;0.0156257
51.75012016296387;65.0817;0.921918;0.0156258
52.62515997886658;68.5683;0.875040;0.0468772
53.531450033187866;66.2038;0.906292;0.0312514
54.422120094299316;67.3653;0.890666;0.0156257
55.359660148620605;63.9970;0.937543;0.0468772
56.26595997810364;66.2038;0.906292;0.0312515
57.17225003242493;66.2038;0.906292;0.00000
58.094160079956055;65.0817;0.921918;0.0156258
59.95362997055054;62.9479;0.953169;0.0312514
60.813040018081665;69.8149;0.859415;0.0937543
61.719330072402954;66.2038;0.906292;0.0468771
62.610000133514404;67.3653;0.890666;0.0156257
63.46941018104553;69.8149;0.859415;0.0312514
64.3288300037384;69.8149;0.859415;0.00000
65.20387005805969;68.5683;0.875040;0.0156257
66.07891011238098;68.5683;0.875040;0.00000
66.96958017349243;67.3653;0.890666;0.0156257
68.81341004371643;66.2038;0.906292;0.0156257
69.70408010482788;67.3653;0.890666;0.0156257
70.62600016593933;65.0817;0.921918;0.0312515
71.56353998184204;63.9970;0.937544;0.0156259
72.51671004295349;62.9479;0.953169;0.0156255
73.43863010406494;65.0817;0.921918;0.0312514
74.40742015838623;61.9326;0.968795;0.0468771
76.28251004219055;62.9479;0.953169;0.0156257
77.25130009651184;61.9326;0.968795;0.0156257
78.15759015083313;66.2038;0.906292;0.0625029
79.09513998031616;63.9970;0.937544;0.0312517
80.00143003463745;66.2038;0.906292;0.0312517
80.9546000957489;62.9479;0.953169;0.0468772
81.86089015007019;66.2038;0.906292;0.0468772
82.73593020439148;68.5683;0.875040;0.0312514
83.64222002029419;66.2038;0.906292;0.0312514
84.53289008140564;67.3653;0.890666;0.0156257
85.43918013572693;66.2038;0.906292;0.0156257
86.36110019683838;65.0817;0.921918;0.0156258
87.28302001953125;65.0817;0.921918;0.00000
88.2361900806427;62.9479;0.953169;0.0312514
89.17373013496399;63.9970;0.937543;0.0156257
90.12690019607544;62.9479;0.953169;0.0156257
91.11132001876831;60.9496;0.984421;0.0312517
